referrer,views_total,views_unique
Google,132,32
github.com,49,12
bugzilla.kernel.org,21,1
fr.search.yahoo.com,19,1
lists.infradead.org,7,1
Bing,2,2
lore.kernel.org,2,1
DuckDuckGo,1,1
yandex.by,1,1
chatgpt.com,1,1
