referrer,views_total,views_unique
Google,148,35
yandex.ru,63,1
perplexity.ai,48,1
github.com,21,8
com.linkedin.android,17,1
DuckDuckGo,9,2
docs.qualcomm.com,6,1
Bing,5,2
yandex.com,4,1
cn.bing.com,3,3
