url_path,views_total,views_unique
/quic/aimet-model-zoo,256,185
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch,80,50
/quic/aimet-model-zoo/tree/develop,50,37
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/quicksrnet,49,15
/quic/aimet-model-zoo/blob/develop/aimet_zoo_torch/quicksrnet/QuickSRNet.md,46,25
/quic/aimet-model-zoo/releases,41,18
/quic/aimet-model-zoo/blob/develop/aimet_zoo_torch/mobilevit/MobileViT.md,34,13
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/quicksrnet/model,32,11
/quic/aimet-model-zoo/blob/develop/aimet_zoo_torch/quicksrnet/model/models.py,26,8
/quic/aimet-model-zoo/blob/develop/LICENSE.pdf,23,19
