url_path,views_total,views_unique
/quic/aimet-model-zoo,192,129
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch,89,44
/quic/aimet-model-zoo/blob/develop/aimet_zoo_torch/quicksrnet/QuickSRNet.md,85,31
/quic/aimet-model-zoo/tree/develop,74,40
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/quicksrnet,58,21
/quic/aimet-model-zoo/releases,49,16
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/quicksrnet/model,39,15
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/gpt2,36,2
/quic/aimet-model-zoo/blob/develop/aimet_zoo_torch/quicksrnet/model/models.py,35,12
/quic/aimet-model-zoo/tree/develop/aimet_zoo_torch/gpt2/model,28,2
