referrer,views_total,views_unique
Google,33,11
phoronix.com,16,3
docs.kernel.org,16,3
statics.teams.cdn.office.net,4,3
github.com,3,3
Bing,2,2
contribution-portal.qualcomm.com,1,1
issues.redhat.com,1,1
