url_path,views_total,views_unique
/quic/efficient-transformers,613,254
/quic/efficient-transformers/pulls,247,44
/quic/efficient-transformers/tree/main,159,74
/quic/efficient-transformers/tree/main/QEfficient,154,72
/quic/efficient-transformers/tree/main/examples,78,43
/quic/efficient-transformers/tree/release/v1.19,50,33
/quic/efficient-transformers/tree/Release-V1.19.3,44,20
/quic/efficient-transformers/pull/287,42,7
/quic/efficient-transformers/tree/main/notebooks,36,18
/quic/efficient-transformers/pull/291/commits,36,1
