url_path,views_total,views_unique
/quic/efficient-transformers,483,159
/quic/efficient-transformers/pulls,159,26
/quic/efficient-transformers/tree/main/QEfficient,142,50
/quic/efficient-transformers/tree/main,114,46
/quic/efficient-transformers/tree/dev/eager/finetune,53,7
/quic/efficient-transformers/tree/release/v1.18,46,25
/quic/efficient-transformers/tree/main/QEfficient/transformers,42,17
/quic/efficient-transformers/pull/119,42,13
/quic/efficient-transformers/pull/192,39,3
/quic/efficient-transformers/pull/192/files,35,3
