url_path,views_total,views_unique
/quic/efficient-transformers,499,165
/quic/efficient-transformers/pulls,185,26
/quic/efficient-transformers/tree/main/QEfficient,142,53
/quic/efficient-transformers/tree/main,119,51
/quic/efficient-transformers/pull/119,60,13
/quic/efficient-transformers/tree/dev/eager/finetune,55,9
/quic/efficient-transformers/pull/192,53,5
/quic/efficient-transformers/tree/release/v1.18,48,29
/quic/efficient-transformers/tree/main/QEfficient/transformers,44,18
/quic/efficient-transformers/pull/192/files,42,5
