referrer,views_total,views_unique
Google,35,16
Bing,20,5
github.com,17,9
docs.qualcomm.com,15,6
chatgpt.com,5,1
DuckDuckGo,2,2
cn.bing.com,1,1
bbs.csdn.net,1,1
