referrer,views_total,views_unique
t.co,483,299
github.com,34,16
Google,9,5
statics.teams.cdn.office.net,3,2
org.joinmastodon.android,3,1
mastodon.social,2,2
m.facebook.com,1,1
com.twitter.android,1,1
pathonproject.com,1,1
kitty.social,1,1
