referrer,views_total,views_unique
Google,307,54
docs.qualcomm.com,144,15
qualcomm.com,45,9
Bing,27,6
github.com,12,6
thundercomm.com,5,4
statics.teams.cdn.office.net,2,2
DuckDuckGo,2,2
forum.modalai.com,1,1
