url_path,views_total,views_unique
/quic/ai-hub-apps/tree/main/tutorials/llm_on_genie,1412,526
/quic/ai-hub-apps/tree/main,977,633
/quic/ai-hub-apps,495,295
/quic/ai-hub-apps/tree/main/apps/android/ChatApp,437,193
/quic/ai-hub-apps/tree/main/apps,423,284
/quic/ai-hub-apps/tree/main/apps/android,318,201
/quic/ai-hub-apps/tree/main/apps/android/SuperResolution,270,173
/quic/ai-hub-apps/tree/main/apps/windows/cpp/ChatApp,231,100
/quic/ai-hub-apps/tree/main/apps/android/ImageClassification,200,93
/quic/ai-hub-apps/tree/main/tutorials,154,105
