url_path,views_total,views_unique
/quic/ai-hub-apps/tree/main/tutorials/llm_on_genie,1527,566
/quic/ai-hub-apps/tree/main,839,533
/quic/ai-hub-apps,616,345
/quic/ai-hub-apps/tree/main/apps,445,266
/quic/ai-hub-apps/tree/main/apps/android/ChatApp,415,212
/quic/ai-hub-apps/tree/main/apps/android,360,192
/quic/ai-hub-apps/tree/main/apps/android/ImageClassification,255,109
/quic/ai-hub-apps/tree/main/apps/windows/cpp/ChatApp,222,124
/quic/ai-hub-apps/tree/main/tutorials,183,121
/quic/ai-hub-apps/issues,176,57
