url_path,views_total,views_unique
/quic/ai-hub-apps/tree/main,3122,2562
/quic/ai-hub-apps/tree/main/tutorials/llm_on_genie,1125,548
/quic/ai-hub-apps,535,334
/quic/ai-hub-apps/tree/main/apps,503,316
/quic/ai-hub-apps/tree/main/apps/android/ChatApp,443,213
/quic/ai-hub-apps/tree/main/apps/android,380,198
/quic/ai-hub-apps/tree/main/apps/android/SuperResolution,283,176
/quic/ai-hub-apps/tree/main/apps/android/ImageClassification,273,129
/quic/ai-hub-apps/tree/main/apps/windows/cpp/ChatApp,162,83
/quic/ai-hub-apps/tree/main/tutorials,158,116
